mode,trans_A,trans_B,BM,BK,BN,latency
dds,False,False,32,64,32,38.08401794433594
dds,False,True,32,64,32,38.0838134765625
dds,True,False,32,64,32,37.28413391113281
dds,True,True,32,64,32,38.15277099609375
dsd,False,False,32,64,32,38.40625610351562
dsd,False,True,32,64,32,40.095452880859376
dsd,True,False,32,64,32,38.40674743652344
dsd,True,True,32,64,32,40.13760986328125
sdd,False,False,32,64,32,38.06143798828125
sdd,False,True,32,64,32,37.84909057617188
sdd,True,False,32,64,32,38.10197448730469
sdd,True,True,32,64,32,37.697930908203126
